date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:25:08	166/166	---M-Z	200	added ('OK')	text/plain	etag:%2204c882289e9da1:0%22	https://www.w3schools.com/robots.txt		(from )
22:25:09	334830/334830	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Aug%202024%2016:15:12%20GMT	https://www.w3schools.com/cs/cs_access_modifiers.php	C:/Users/nizhu/OneDrive/Desktop/w3school/w3school/www.w3schools.com/cs/cs_access_modifiers.html	(from )
22:25:10	3065/3065	---M-Z	200	added ('OK')	image/png	etag:%2204c882289e9da1:0+gzip%22	https://www.w3schools.com/apple-touch-icon.png	C:/Users/nizhu/OneDrive/Desktop/w3school/w3school/www.w3schools.com/apple-touch-icon.png	(from https://www.w3schools.com/cs/cs_access_modifiers.php)
22:25:11	1408/1408	---M-Z	200	added ('OK')	image/png	etag:%2204c882289e9da1:0+gzip%22	https://www.w3schools.com/favicon-32x32.png	C:/Users/nizhu/OneDrive/Desktop/w3school/w3school/www.w3schools.com/favicon-32x32.png	(from https://www.w3schools.com/cs/cs_access_modifiers.php)
22:25:11	912/912	---M-Z	200	added ('OK')	image/png	etag:%2204c882289e9da1:0+gzip%22	https://www.w3schools.com/favicon-16x16.png	C:/Users/nizhu/OneDrive/Desktop/w3school/w3school/www.w3schools.com/favicon-16x16.png	(from https://www.w3schools.com/cs/cs_access_modifiers.php)
22:25:12	34838/34838	---M-Z	200	added ('OK')	text/css	etag:%2204c882289e9da1:0+gzip%22	https://www.w3schools.com/lib/topnav/main.css?v=1.0.35	C:/Users/nizhu/OneDrive/Desktop/w3school/w3school/www.w3schools.com/lib/topnav/main44e3.css	(from https://www.w3schools.com/cs/cs_access_modifiers.php)
22:25:13	20576/20576	---M-Z	200	added ('OK')	text/css	etag:%2204c882289e9da1:0+gzip%22	https://www.w3schools.com/lib/my-learning/main.css?v=1.0.30	C:/Users/nizhu/OneDrive/Desktop/w3school/w3school/www.w3schools.com/lib/my-learning/main5ab0.css	(from https://www.w3schools.com/cs/cs_access_modifiers.php)
22:25:14	34694/34694	---M-Z	200	added ('OK')	text/css	etag:%2204c882289e9da1:0+gzip%22	https://www.w3schools.com/lib/pathfinder/main.css?v=1.0.3	C:/Users/nizhu/OneDrive/Desktop/w3school/w3school/www.w3schools.com/lib/pathfinder/main2c70.css	(from https://www.w3schools.com/cs/cs_access_modifiers.php)
22:25:15	72681/72681	---M-Z	200	added ('OK')	text/css	etag:%2204c882289e9da1:0+gzip%22	https://www.w3schools.com/lib/w3schools32.css?v=1.0.1	C:/Users/nizhu/OneDrive/Desktop/w3school/w3school/www.w3schools.com/lib/w3schools32f700.css	(from https://www.w3schools.com/cs/cs_access_modifiers.php)
22:25:15	9075/9075	---M-Z	200	added ('OK')	text/css	etag:%2204c882289e9da1:0+gzip%22	https://www.w3schools.com/plus/plans/main.css	C:/Users/nizhu/OneDrive/Desktop/w3school/w3school/www.w3schools.com/plus/plans/main.css	(from https://www.w3schools.com/cs/cs_access_modifiers.php)
22:25:16	9024/9024	---M-Z	200	added ('OK')	text/css	etag:%2204c882289e9da1:0+gzip%22	https://www.w3schools.com/lib/prism1.css	C:/Users/nizhu/OneDrive/Desktop/w3school/w3school/www.w3schools.com/lib/prism1.css	(from https://www.w3schools.com/cs/cs_access_modifiers.php)
22:25:16	72610/72610	---M-Z	200	added ('OK')	application/javascript	etag:%2204c882289e9da1:0+gzip%22	https://www.w3schools.com/lib/prism2.js	C:/Users/nizhu/OneDrive/Desktop/w3school/w3school/www.w3schools.com/lib/prism2.js	(from https://www.w3schools.com/cs/cs_access_modifiers.php)
